Country,Data_year,Region,KOF_Globalis,Work_rightCIRI,Trade_open,FDI,VDEM_Libdem,GDPpc_2016,Armedcon,Asia,Subsah_Africa,Americas,Europe,M_East_N_Africa,Russia_Eurasia,Pol_terror,SLAVERY,SDGI_2016,Poverty,Cereal_yield,Stunting_u5s,Undernourish,Wasting_u5s,Life_expect,Maternal_mort,Neonatal_mort,Wellbeing,Tuberculosis,Infant_mort,Infant_vaccines,Literacy_15_24yrs,Primary_school,Yrs_of_school,Lack_contraception,F_school,M_school,F_parliam,Freshwater,Sanitation,Water_acc,Co2_fuel,Electric_acc,Fuel_acc,Growth_rate,ATMs,Child_lab,Unemploy,Infrastruct,Internet_use,Broadband,Inequality,Piped_water,Treated_waste,Climate_chg_vuln,Co2_energy_pc,Ocean_biodiv,Ocean_clean,Ocean_protect,Ocean_fisheries,Fish_overexploit,Terrestrial_protect,Forest_change,Species_survival,CPI,Gov_efficien,Homicides,Prison_pop,Property_rights,Safe_night,Regist_birth,Risk_masskill_2018,Masskill_ongo,Masskill_ever,GDPpc_growth,Minority_rule,Ethnic_fract,Battle_deaths,Pol_cand_restr,Party_ban,Relig_freeMK,Polkill_apprvd,Freemv_M,Freemv_F,Free_discuss,Social_ineq,Soc_powerdist,Trade_openMK,Democ,Sexwrk_size,Sexwrk_HIV,Sexwrk_condom,Sexwrk_Syphilis,AIDS_death_2016,AIDS_death_2018,AIDS_Orph_2016,AIDS_Orph_2018,Physrights_indx_2011,Extrajud_kill_2011,Pol_impris_2011,Torture_2011,Polrights_indx_2011,Free_assem_2011,Freemv_foreign_2011,Freemv_dom_2011,Free_speech_2011,Free_polit_2011,Relig_freeCIRI_2011,Work_rightCIRI_2011,Econ_right_F_2011,Pol_right_F_2011,Indep_judic_2011,Rape_prev_2018,Rape_report_2015,Rape_enclave_2015,Rape_compl_2018,Phys_secF_2014,Phys_secF_2019,Gender_equal_2015,Hum_traff_2019
Nepal,2016,ASIA,47.55,1,48.88,0.5,0.45,730,0,1,0,0,0,0,0,3.0,0.82,51.53,14.94999981,2.747900009,37.4,7.800000191,11.3,59,258,22.2,4.513999939,158.0,35.79999924,88,82.35368674,98.47754,12.35305,37.06140351,50.56179775,90.53738479,29.5,4.518,45.79999924,91.59999847,1.416666667,76.30000305,18.0367,-3.055097207,8.875449877,37.40000153,3.05477643,2.740929864,15.44,10.9,32.81999969,49.8612386,0.0,0.1,0.159474447,,,,,,3.703703704,0.746066765,0.824344677,27.0,3.04307165,2.9,48,3.728963096,60.46221706,42.3,0.01344,0,1,0.053961723,0,0.66,0.0,1,4,3,0,1,0,0.779922065,0,0,-2.441723069,1,67300.0,4.2,88.2,2.0,1100.0,1000.0,26000.0,26000.0,4,1,1,0,8,0,2,2,1,1,1,1,1,3,1,0.0,4.0,0.0,9.0,3.0,3.0,1.0,2.0
Nepal,2018,ASIA,45.59,1,48.88,0.5,0.45,730,0,1,0,0,0,0,0,3.0,0.6,51.53,14.94999981,2.747900009,37.4,7.800000191,11.3,59,258,22.2,4.513999939,158.0,35.79999924,88,82.35368674,98.47754,12.35305,37.06140351,50.56179775,90.53738479,29.5,4.518,45.79999924,91.59999847,1.416666667,76.30000305,18.0367,-3.055097207,8.875449877,37.40000153,3.05477643,2.740929864,15.44,10.9,32.81999969,49.8612386,0.0,0.1,0.159474447,,,,,,3.703703704,0.746066765,0.824344677,27.0,3.04307165,2.9,48,3.728963096,60.46221706,42.3,0.01344,0,1,0.053961723,0,0.66,0.0,1,4,3,0,1,0,0.779922065,0,0,-2.441723069,1,67300.0,4.2,88.2,2.0,1100.0,1000.0,26000.0,26000.0,4,1,1,0,8,0,2,2,1,1,1,1,1,3,1,0.0,4.0,0.0,9.0,3.0,3.0,1.0,2.0
Nigeria,2016,SUBSAHARAN AFRICA,54.39,0,20.72,1.1,0.47,2450,1,0,1,0,0,0,0,4.5,0.48,36.06,53.47000122,1.593699932,32.9,7.0,7.9,47,814,34.3,5.268000126,322.0,108.8000031,51,66.38354494,63.90199,8.98858,71.46788991,68.78341095,,5.599999905,4.581,29.0,68.5,2.103448276,55.59999847,25.64219,-2.739045381,16.05420375,24.70000076,5.757414818,2.448035974,42.68,10.1,48.83000183,3.4815632,1.08171624,0.08,0.53749758,69.77,44.25,,46.0,19.67,66.66666667,4.375789829,0.8741472,26.0,3.020569217,20.0,32,3.813756264,60.60121738,29.8,0.03114,1,1,0.000493867,1,0.85,6.706862337,0,4,3,0,1,1,0.828986805,0,1,-3.423169604,1,103500.0,14.4,98.1,,50000.0,53000.0,1100000.0,1000000.0,0,0,0,0,3,0,0,1,1,0,1,0,0,2,0,0.0,4.0,2.0,13.0,4.0,4.0,3.0,2.0
Nigeria,2018,SUBSAHARAN AFRICA,54.93,0,20.72,1.1,0.47,2450,1,0,1,0,0,0,0,4.5,0.76,36.06,53.47000122,1.593699932,32.9,7.0,7.9,47,814,34.3,5.268000126,322.0,108.8000031,51,66.38354494,63.90199,8.98858,71.46788991,68.78341095,,5.599999905,4.581,29.0,68.5,2.103448276,55.59999847,25.64219,-2.739045381,16.05420375,24.70000076,5.757414818,2.448035974,42.68,10.1,48.83000183,3.4815632,1.08171624,0.08,0.53749758,69.77,44.25,,46.0,19.67,66.66666667,4.375789829,0.8741472,26.0,3.020569217,20.0,32,3.813756264,60.60121738,29.8,0.03114,1,1,0.000493867,1,0.85,6.706862337,0,4,3,0,1,1,0.828986805,0,1,-3.423169604,1,103500.0,14.4,98.1,,50000.0,53000.0,1100000.0,1000000.0,0,0,0,0,3,0,0,1,1,0,1,0,0,2,0,0.0,4.0,2.0,13.0,4.0,4.0,3.0,2.0
Pakistan,2016,ASIA,53.53,0,25.31,0.89,0.27,1500,1,1,0,0,0,0,0,4.0,1.13,45.71,8.300000191,2.747399807,45.0,22.0,10.5,57,178,45.5,5.193999767,270.0,81.09999847,63,70.76932626,71.85668,7.78876,52.60892953,49.49076624,29.96300825,20.60000038,74.35,63.5,91.40000153,1.378323108,93.59999847,36.1472,-3.052479946,7.325158128,,5.431818485,3.484310116,13.8,0.5,30.02000046,60.8714431,3.517748412,0.12,0.94117111,67.91,52.48,0.0,62.0,35.03,18.75,0.946745761,0.866445219,30.0,3.054124701,7.7,39,3.469061417,57.63966888,33.6,0.07403,1,1,0.039574437,1,0.71,4.394449155,1,4,2,0,0,0,0.609827381,0,0,-3.188769335,1,228800.0,3.8,35.1,,5400.0,6400.0,29000.0,42000.0,0,0,0,0,3,1,1,1,0,0,0,0,1,2,0,0.0,4.0,1.0,12.0,4.0,4.0,6.0,2.0
Pakistan,2018,ASIA,51.7,0,25.31,0.89,0.27,1500,1,1,0,0,0,0,0,4.0,1.68,45.71,8.300000191,2.747399807,45.0,22.0,10.5,57,178,45.5,5.193999767,270.0,81.09999847,63,70.76932626,71.85668,7.78876,52.60892953,49.49076624,29.96300825,20.60000038,74.35,63.5,91.40000153,1.378323108,93.59999847,36.1472,-3.052479946,7.325158128,,5.431818485,3.484310116,13.8,0.5,30.02000046,60.8714431,3.517748412,0.12,0.94117111,67.91,52.48,0.0,62.0,35.03,18.75,0.946745761,0.866445219,30.0,3.054124701,7.7,39,3.469061417,57.63966888,33.6,0.07403,1,1,0.039574437,1,0.71,4.394449155,1,4,2,0,0,0,0.609827381,0,0,-3.188769335,1,228800.0,3.8,35.1,,5400.0,6400.0,29000.0,42000.0,0,0,0,0,3,1,1,1,0,0,0,0,1,2,0,0.0,4.0,1.0,12.0,4.0,4.0,6.0,2.0
Philippines,2016,ASIA,66.97,1,64.9,2.72,0.38,3580,1,1,0,0,0,0,0,5.0,0.4,55.54,13.10999966,3.637300014,30.3,13.5,7.9,60,114,12.6,5.072999954,288.0,28.0,79,97.75079836,90.22618,11.27717,47.06397897,105.4156171,64.33121019,27.20000076,17.03,73.90000153,91.80000305,1.189907039,87.5,50.45161,-0.713209525,23.6813305,11.10000038,6.666004658,3.3050247,39.69,0.0,42.97999954,59.0351477,0.53125,0.11,0.867845356,77.12,49.49,47.05882353,89.0,8.6,17.88617886,4.092463452,0.64969738,35.0,3.384768242,8.8,111,4.116854763,62.26817386,90.2,0.01307,1,1,0.047443987,1,0.24,7.218176838,1,4,4,0,1,1,0.676781064,0,1,-2.108474317,1,152600.0,0.6,70.6,2.1,1000.0,1200.0,3900.0,5900.0,1,0,0,0,9,2,2,1,1,1,1,1,1,2,1,1.0,3.0,2.0,10.0,3.0,3.0,0.0,1.0
Philippines,2018,ASIA,64.08,1,64.9,2.72,0.38,3580,1,1,0,0,0,0,0,5.0,0.77,55.54,13.10999966,3.637300014,30.3,13.5,7.9,60,114,12.6,5.072999954,288.0,28.0,79,97.75079836,90.22618,11.27717,47.06397897,105.4156171,64.33121019,27.20000076,17.03,73.90000153,91.80000305,1.189907039,87.5,50.45161,-0.713209525,23.6813305,11.10000038,6.666004658,3.3050247,39.69,0.0,42.97999954,59.0351477,0.53125,0.11,0.867845356,77.12,49.49,47.05882353,89.0,8.6,17.88617886,4.092463452,0.64969738,35.0,3.384768242,8.8,111,4.116854763,62.26817386,90.2,0.01307,1,1,0.047443987,1,0.24,7.218176838,1,4,4,0,1,1,0.676781064,0,1,-2.108474317,1,152600.0,0.6,70.6,2.1,1000.0,1200.0,3900.0,5900.0,1,0,0,0,9,2,2,1,1,1,1,1,1,2,1,1.0,3.0,2.0,10.0,3.0,3.0,0.0,1.0
Poland,2016,EUROPE,81.2,2,100.47,3.55,0.57,12690,0,0,0,0,1,0,0,1.5,0.48,69.81,0.0,4.268000126,,1.169999957,,67,3,3.1,5.790999889,21.0,5.199999809,98,99.99996,96.83537,15.46559,39.27710843,98.60968511,74.96136366,27.39999962,18.96,97.19999695,98.30000305,1.782926829,100.0,95.0,0.447443109,63.58095676,0.0,7.363407135,4.102319517,66.6,54.9,32.72999954,99.0905077,60.72727273,0.03,8.335786819,82.03,64.09,36.36363636,76.0,92.48,36.68639053,6.335274343,0.967672415,62.0,3.199944642,1.2,217,4.297182542,66.08293484,100.0,0.003171,0,1,0.030374457,0,0.12,0.0,1,4,4,0,1,1,0.848273816,0,0,-1.706677937,1,,,,,,,,,6,2,1,1,12,2,2,2,1,2,2,1,1,2,2,1.0,3.0,0.0,8.0,2.0,2.0,1.0,2.0
Poland,2018,EUROPE,78.72,2,100.47,3.55,0.57,12690,0,0,0,0,1,0,0,1.5,0.21,69.81,0.0,4.268000126,,1.169999957,,67,3,3.1,5.790999889,21.0,5.199999809,98,99.99996,96.83537,15.46559,39.27710843,98.60968511,74.96136366,27.39999962,18.96,97.19999695,98.30000305,1.782926829,100.0,95.0,0.447443109,63.58095676,0.0,7.363407135,4.102319517,66.6,54.9,32.72999954,99.0905077,60.72727273,0.03,8.335786819,82.03,64.09,36.36363636,76.0,92.48,36.68639053,6.335274343,0.967672415,62.0,3.199944642,1.2,217,4.297182542,66.08293484,100.0,0.003171,0,1,0.030374457,0,0.12,0.0,1,4,4,0,1,1,0.848273816,0,0,-1.706677937,1,,,,,,,,,6,2,1,1,12,2,2,2,1,2,2,1,1,2,2,1.0,3.0,0.0,8.0,2.0,2.0,1.0,2.0
