Country,Data_year,Region,KOF_Globalis,Work_rightCIRI,Trade_open,FDI,VDEM_Libdem,GDPpc_2016,Armedcon,Asia,Subsah_Africa,Americas,Europe,M_East_N_Africa,Russia_Eurasia,Pol_terror,SLAVERY,SDGI_2016,Poverty,Cereal_yield,Stunting_u5s,Undernourish,Wasting_u5s,Life_expect,Maternal_mort,Neonatal_mort,Wellbeing,Tuberculosis,Infant_mort,Infant_vaccines,Literacy_15_24yrs,Primary_school,Yrs_of_school,Lack_contraception,F_school,M_school,F_parliam,Freshwater,Sanitation,Water_acc,Co2_fuel,Electric_acc,Fuel_acc,Growth_rate,ATMs,Child_lab,Unemploy,Infrastruct,Internet_use,Broadband,Inequality,Piped_water,Treated_waste,Climate_chg_vuln,Co2_energy_pc,Ocean_biodiv,Ocean_clean,Ocean_protect,Ocean_fisheries,Fish_overexploit,Terrestrial_protect,Forest_change,Species_survival,CPI,Gov_efficien,Homicides,Prison_pop,Property_rights,Safe_night,Regist_birth,Risk_masskill_2018,Masskill_ongo,Masskill_ever,GDPpc_growth,Minority_rule,Ethnic_fract,Battle_deaths,Pol_cand_restr,Party_ban,Relig_freeMK,Polkill_apprvd,Freemv_M,Freemv_F,Free_discuss,Social_ineq,Soc_powerdist,Trade_openMK,Democ,Sexwrk_size,Sexwrk_HIV,Sexwrk_condom,Sexwrk_Syphilis,AIDS_death_2016,AIDS_death_2018,AIDS_Orph_2016,AIDS_Orph_2018,Physrights_indx_2011,Extrajud_kill_2011,Pol_impris_2011,Torture_2011,Polrights_indx_2011,Free_assem_2011,Freemv_foreign_2011,Freemv_dom_2011,Free_speech_2011,Free_polit_2011,Relig_freeCIRI_2011,Work_rightCIRI_2011,Econ_right_F_2011,Pol_right_F_2011,Indep_judic_2011,Rape_prev_2018,Rape_report_2015,Rape_enclave_2015,Rape_compl_2018,Phys_secF_2014,Phys_secF_2019,Gender_equal_2015,Hum_traff_2019
Romania,2018,EUROPE,77.88,1,83.57,3.33,0.65,9480,0,0,0,0,1,0,0,2.0,0.35,67.51,0.0,4.068500042,12.8,,3.5,66,31,6.3,5.124000072,81.0,11.10000038,89,98.99568738,85.75557,14.2108,31.1001142,92.32583497,71.96262143,13.69999981,3.243,79.09999847,100.0,1.176068376,100.0,82.76085,-0.091156769,64.78037459,0.899999976,6.906870365,3.613692463,54.08,37.6,27.42000008,,13.055,0.03,4.210560322,93.44,77.68,100.0,61.0,,20.93023256,3.270359514,0.947215258,,3.216095861,1.7,155,3.887201276,54.55424172,,0.003194,0,1,0.049544012,0,0.31,0.0,1,4,4,0,1,1,0.83125462,0,0,-1.910182858,1,,1.0,88.96,,200.0,200.0,1000.0,1000.0,6,2,2,0,8,1,2,2,1,1,0,1,1,2,1,1.0,3.0,1.0,8.0,3.0,2.0,0.0,3.0
Russia,2016,RUSSIA AND EURASIA,72.29,0,46.23,2.53,0.12,9720,1,0,0,0,0,0,1,4.0,0.73,66.36,0.0,2.443199873,,1.169999957,,61,25,5.0,5.71600008,84.0,9.600000381,97,99.70960245,96.06178,14.68839,28.7103046,99.11816995,84.28761721,13.60000038,1.463,72.19999695,96.90000153,1.459058245,100.0,95.0,-1.711445728,184.6976969,0.0,5.805064678,4.12930648,70.52,60.1,40.11000061,93.8724641,21.5,0.03,12.64732838,92.9,77.29,5.737704918,31.0,2.185535959,6.587615283,5.379498326,0.955111828,29.0,3.164031726,9.2,475,3.33376613,52.87265575,100.0,0.02135,0,1,0.006341352,1,0.25,3.988984047,1,3,3,0,1,1,0.591661661,0,0,-2.55164571,0,,,,,,,,,0,0,0,0,2,0,0,2,0,0,0,0,1,2,0,1.0,4.0,1.0,12.0,4.0,4.0,3.0,4.0
Russia,2018,RUSSIA AND EURASIA,69.06,0,46.23,2.53,0.12,9720,1,0,0,0,0,0,1,4.0,0.53,66.36,0.0,2.443199873,,1.169999957,,61,25,5.0,5.71600008,84.0,9.600000381,97,99.70960245,96.06178,14.68839,28.7103046,99.11816995,84.28761721,13.60000038,1.463,72.19999695,96.90000153,1.459058245,100.0,95.0,-1.711445728,184.6976969,0.0,5.805064678,4.12930648,70.52,60.1,40.11000061,93.8724641,21.5,0.03,12.64732838,92.9,77.29,5.737704918,31.0,2.185535959,6.587615283,5.379498326,0.955111828,29.0,3.164031726,9.2,475,3.33376613,52.87265575,100.0,0.02135,0,1,0.006341352,1,0.25,3.988984047,1,3,3,0,1,1,0.591661661,0,0,-2.55164571,0,,,,,,,,,0,0,0,0,2,0,0,2,0,0,0,0,1,2,0,1.0,4.0,1.0,12.0,4.0,4.0,3.0,4.0
Serbia,2018,EUROPE,75.28,1,107.5,6.15,0.35,5310,0,0,0,0,1,0,0,1.5,0.16,68.3,0.100000001,5.965899944,6.0,,3.9,65,17,4.2,5.123000145,24.0,6.699999809,86,99.26009,94.79516,14.38712,68.85813149,87.48461885,70.75306936,34.0,2.541,96.40000153,99.19999695,1.155612245,100.0,67.91875,-2.539192446,43.97233038,9.5,19.04210663,3.147492886,53.5,53.7,29.62000084,96.2326467,8.7885,0.02,6.799115181,,,,,,0.0,1.183003961,0.956500163,,2.650929063,1.2,142,3.106488553,67.79939063,98.9,0.003697,0,0,0.008915212,0,0.57,0.0,1,4,4,0,1,1,0.781611364,0,1,-1.59847389,1,3900.0,1.6,91.2,,100.0,100.0,,,7,2,2,1,8,1,1,1,1,2,1,1,2,2,1,0.0,4.0,0.0,8.0,3.0,2.0,0.0,2.0
Singapore,2018,ASIA,80.01,1,310.26,23.97,0.34,51880,0,1,0,0,0,0,0,1.5,0.34,74.61,0.0,,4.4,1.169999957,3.6,76,10,1.0,6.797999859,49.0,2.700000048,95,99.84585742,100.0,15.4,25.16778523,92.58920403,76.64907142,23.89999962,,100.0,100.0,0.970833333,100.0,95.0,1.472378867,59.32291633,0.0,3.270637274,6.387624349,82.0,149.3,,100.0,99.65,0.06,4.320161343,82.39,44.93,0.0,80.0,,0.0,4.906385429,0.866364526,85.0,5.766091678,0.2,230,6.2682947,92.30501378,,0.00339,0,0,0.022921235,0,0.39,0.0,1,4,3,0,1,1,0.46057433,0,1,-0.481385051,0,800.0,0.0,100.0,0.0,100.0,100.0,,,8,2,2,2,6,1,1,1,0,1,1,1,1,2,1,1.0,2.0,0.0,7.0,3.0,3.0,5.0,2.0
South Africa,2016,SUBSAHARAN AFRICA,69.89,1,60.79,0.75,0.61,5490,0,0,1,0,0,0,0,3.5,0.45,53.78,16.55999947,4.320399761,23.9,5.0,4.7,52,138,11.0,4.642000198,834.0,40.5,70,98.88204097,89.55526,13.55794,16.93722944,95.57440506,76.31579294,42.0,24.23,66.40000153,93.19999695,1.660347551,85.40000153,84.93672,-2.882389754,66.19826566,,25.13574219,4.310185149,49.0,58.5,63.13999939,91.6923535,27.85875,0.09,9.257216454,84.74,59.28,13.33333333,49.0,20.93170052,21.21212121,17.17185941,0.780582731,44.0,4.096786162,31.0,294,5.471041663,39.80251288,85.0,0.009211,0,1,0.004537171,0,0.75,0.0,1,4,4,0,1,1,0.830778531,0,1,-2.316713055,1,24000.0,57.7,86.1,,74000.0,71000.0,1300000.0,1200000.0,4,0,2,0,11,2,2,2,1,1,2,1,1,3,2,4.0,3.0,0.0,12.0,4.0,4.0,3.0,3.0
South Africa,2018,SUBSAHARAN AFRICA,68.63,1,60.79,0.75,0.61,5490,0,0,1,0,0,0,0,3.5,0.28,53.78,16.55999947,4.320399761,23.9,5.0,4.7,52,138,11.0,4.642000198,834.0,40.5,70,98.88204097,89.55526,13.55794,16.93722944,95.57440506,76.31579294,42.0,24.23,66.40000153,93.19999695,1.660347551,85.40000153,84.93672,-2.882389754,66.19826566,,25.13574219,4.310185149,49.0,58.5,63.13999939,91.6923535,27.85875,0.09,9.257216454,84.74,59.28,13.33333333,49.0,20.93170052,21.21212121,17.17185941,0.780582731,44.0,4.096786162,31.0,294,5.471041663,39.80251288,85.0,0.009211,0,1,0.004537171,0,0.75,0.0,1,4,4,0,1,1,0.830778531,0,1,-2.316713055,1,24000.0,57.7,86.1,,74000.0,71000.0,1300000.0,1200000.0,4,0,2,0,11,2,2,2,1,1,2,1,1,3,2,4.0,3.0,0.0,12.0,4.0,4.0,3.0,3.0
Sri Lanka,2016,ASIA,58.92,1,50.01,1.1,0.5,3780,0,1,0,0,0,0,0,3.0,0.22,54.8,1.690000057,3.801399946,14.7,22.0,21.4,65,30,5.4,4.270999908,65.0,9.800000191,99,98.1579253,94.13639,13.71335,29.0805417,98.54752712,46.70255631,4.900000095,24.53,95.09999847,95.59999847,1.141666667,88.66255951,25.39852,1.309471595,17.05897531,2.5,4.69761467,5.054661843,25.8,7.8,36.40000153,72.8573009,0.0,0.14,0.729920864,89.16,61.81,0.0,35.0,12.45,12.90322581,2.865138402,0.571313216,37.0,3.865479418,3.4,132,4.319000533,73.52891883,97.2,0.007062,0,1,0.018874194,0,0.42,0.0,1,4,3,0,1,1,0.852834118,0,1,-2.456428005,1,30000.0,0.3,83.6,1.7,500.0,200.0,,,0,0,0,0,5,0,1,1,0,1,1,1,1,2,0,2.0,4.0,2.0,12.0,3.0,4.0,3.0,3.0
Sri Lanka,2018,ASIA,54.45,1,50.01,1.1,0.5,3780,0,1,0,0,0,0,0,3.0,0.21,54.8,1.690000057,3.801399946,14.7,22.0,21.4,65,30,5.4,4.270999908,65.0,9.800000191,99,98.1579253,94.13639,13.71335,29.0805417,98.54752712,46.70255631,4.900000095,24.53,95.09999847,95.59999847,1.141666667,88.66255951,25.39852,1.309471595,17.05897531,2.5,4.69761467,5.054661843,25.8,7.8,36.40000153,72.8573009,0.0,0.14,0.729920864,89.16,61.81,0.0,35.0,12.45,12.90322581,2.865138402,0.571313216,37.0,3.865479418,3.4,132,4.319000533,73.52891883,97.2,0.007062,0,1,0.018874194,0,0.42,0.0,1,4,3,0,1,1,0.852834118,0,1,-2.456428005,1,30000.0,0.3,83.6,1.7,500.0,200.0,,,0,0,0,0,5,0,1,1,0,1,1,1,1,2,0,2.0,4.0,2.0,12.0,3.0,4.0,3.0,3.0
Thailand,2018,ASIA,68.15,0,121.66,0.74,0.11,5640,1,1,0,0,0,0,0,3.0,0.89,62.17,0.059999999,3.10289979,16.3,7.400000095,6.7,66,20,6.7,6.454999924,171.0,12.30000019,99,96.59757476,95.60995,13.47211,9.185202259,94.68178203,78.20025294,6.099999905,13.07,93.0,97.80000305,1.493059747,100.0,73.86841,-0.815138754,111.9143573,8.300000191,1.074928999,4.011281857,34.89,52.3,39.36999893,75.8920724,16.0,0.23,4.534491539,81.8,65.49,,67.0,42.96421685,53.09734513,6.351098205,0.803594608,38.0,3.43156454,5.0,398,4.101412273,69.41557978,99.4,0.02841,1,1,0.025196228,0,0.63,3.784189634,1,1,3,0,1,1,0.175902524,0,1,-1.526046527,0,144000.0,1.7,83.1,3.5,20000.0,18000.0,250000.0,230000.0,1,0,0,0,8,1,2,2,0,1,1,1,1,2,1,1.0,3.0,2.0,11.0,3.0,2.0,2.0,2.0
Tunisia,2016,MIDDLE EAST AND NORTH AFRICA,67.3,1,91.44,1.48,0.66,3690,0,0,0,0,0,1,0,3.0,0.77,65.06,1.99000001,1.832499981,10.1,5.0,2.8,66,62,8.2,4.738999844,33.0,14.0,98,97.3044449,98.72154,14.62357,28.49695917,75.82018226,36.57142912,31.29999924,69.71,91.59999847,97.69999695,1.288043478,100.0,95.0,-3.158521669,23.34835359,2.099999905,14.81652355,3.673942031,46.16,30.9,36.06000137,94.5329431,27.77310217,0.07,2.402455568,87.28,73.01,0.0,58.0,17.82,1.388888889,5.817335529,0.972199378,38.0,3.484548739,2.2,199,4.351137597,61.79584451,99.2,0.004354,0,0,0.009616641,0,0.04,0.0,1,4,3,0,1,1,0.800101076,0,0,-1.737196666,1,25000.0,1.2,58.3,,100.0,100.0,,,2,0,0,0,7,1,2,0,1,1,0,2,1,2,0,4.0,4.0,2.0,15.0,3.0,4.0,4.0,2.0
Tunisia,2018,MIDDLE EAST AND NORTH AFRICA,64.86,1,91.44,1.48,0.66,3690,0,0,0,0,0,1,0,3.0,0.22,65.06,1.99000001,1.832499981,10.1,5.0,2.8,66,62,8.2,4.738999844,33.0,14.0,98,97.3044449,98.72154,14.62357,28.49695917,75.82018226,36.57142912,31.29999924,69.71,91.59999847,97.69999695,1.288043478,100.0,95.0,-3.158521669,23.34835359,2.099999905,14.81652355,3.673942031,46.16,30.9,36.06000137,94.5329431,27.77310217,0.07,2.402455568,87.28,73.01,0.0,58.0,17.82,1.388888889,5.817335529,0.972199378,38.0,3.484548739,2.2,199,4.351137597,61.79584451,99.2,0.004354,0,0,0.009616641,0,0.04,0.0,1,4,3,0,1,1,0.800101076,0,0,-1.737196666,1,25000.0,1.2,58.3,,100.0,100.0,,,2,0,0,0,7,1,2,0,1,1,0,2,1,2,0,4.0,4.0,2.0,15.0,3.0,4.0,4.0,2.0
Uganda,2018,SUBSAHARAN AFRICA,52.66,0,47.22,2.6,0.28,630,1,0,1,0,0,0,0,3.0,0.76,43.62,33.24000168,2.019299984,34.2,25.5,4.3,50,343,18.7,3.930999994,161.0,54.59999847,78,87.40882894,91.48062,9.76888,56.55976676,71.13564669,95.01134462,35.0,1.06,19.10000038,79.0,,18.16255951,5.0,-4.87924161,4.227783433,16.29999924,3.590334415,3.539417064,17.71,7.4,44.29999924,23.420564,0.56,0.08,0.110886574,,,,,,26.66666667,5.663806122,0.755702097,25.0,3.567911081,10.7,97,3.891180475,46.03529597,29.9,0.03042,0,1,0.025690565,0,0.93,5.463831805,1,4,3,0,1,1,0.579077031,0,1,-2.605993015,0,44300.0,85.0,69.4,,26000.0,23000.0,1000000.0,950000.0,2,1,0,0,7,0,2,2,1,1,1,0,0,3,1,1.0,3.0,2.0,12.0,3.0,3.0,3.0,2.0
Ukraine,2018,RUSSIA AND EURASIA,70.6,0,104.81,3.69,0.22,2310,1,0,0,0,0,0,1,4.0,0.67,66.39,0.0,4.400799751,3.7,,0.3,63,24,5.5,4.681000233,94.0,9.0,76,99.77241,97.40348,15.14135,33.61522199,99.03508772,80.95237519,12.10000038,8.471,95.90000153,96.19999695,1.368094992,100.0,95.0,-4.980210691,94.55598808,2.400000095,9.874469757,3.807098305,43.4,5.4,25.62000084,86.3429623,14.7,0.04,6.26235199,88.84,71.58,5.0,90.0,32.54,1.459854015,5.702894703,0.943358382,27.0,2.866647266,4.3,305,2.947390139,44.26565111,99.8,0.01689,0,0,0.013978478,1,0.47,4.143134726,1,3,3,0,1,1,0.684341717,0,1,-1.712699873,0,86600.0,5.2,93.9,3.1,8300.0,6100.0,56000.0,61000.0,4,1,1,0,10,1,2,2,1,1,2,1,2,2,0,1.0,3.0,2.0,12.0,3.0,4.0,0.0,2.0
Vietnam,2016,ASIA,64.27,0,184.69,6.14,0.2,2100,0,1,0,0,0,0,0,3.0,0.15,57.62,3.230000019,5.577399731,19.4,11.0,5.7,66,54,11.4,5.360000134,140.0,21.70000076,95,97.09167345,97.96511,11.9,21.42377435,88.71989861,89.06439895,24.29999924,9.259,78.0,97.59999847,1.024409449,99.0,43.7808,-0.07219119,23.59304334,16.39999962,2.058134079,3.46707112,48.31,18.8,35.56999969,61.3066205,0.1375,0.24,1.97143352,79.24,56.92,7.692307692,3.0,0.45,2.777777778,9.076539684,0.74662179,31.0,3.407291069,3.3,145,3.909753896,60.55325259,95.0,0.01451,0,1,0.048465601,1,0.24,0.0,1,0,2,0,0,0,0.559767539,0,0,-0.991591011,0,71900.0,3.6,85.4,2.1,5300.0,4700.0,94000.0,94000.0,3,1,0,0,1,0,0,1,0,0,0,0,1,2,0,,2.0,0.0,,3.0,3.0,2.0,3.0
Vietnam,2018,ASIA,59.7,0,184.69,6.14,0.2,2100,0,1,0,0,0,0,0,3.0,0.45,57.62,3.230000019,5.577399731,19.4,11.0,5.7,66,54,11.4,5.360000134,140.0,21.70000076,95,97.09167345,97.96511,11.9,21.42377435,88.71989861,89.06439895,24.29999924,9.259,78.0,97.59999847,1.024409449,99.0,43.7808,-0.07219119,23.59304334,16.39999962,2.058134079,3.46707112,48.31,18.8,35.56999969,61.3066205,0.1375,0.24,1.97143352,79.24,56.92,7.692307692,3.0,0.45,2.777777778,9.076539684,0.74662179,31.0,3.407291069,3.3,145,3.909753896,60.55325259,95.0,0.01451,0,1,0.048465601,1,0.24,0.0,1,0,2,0,0,0,0.559767539,0,0,-0.991591011,0,71900.0,3.6,85.4,2.1,5300.0,4700.0,94000.0,94000.0,3,1,0,0,1,0,0,1,0,0,0,0,1,2,0,,2.0,0.0,,3.0,3.0,2.0,3.0
