Country,Data_year,SLAVERY,Poverty,Cereal_yield,Stunting_u5s,Undernourish,Wasting_u5s,Life_expect,Maternal_mort,Neonatal_mort,Wellbeing,Tuberculosis,Infant_mort,Infant_vaccines,Literacy_15_24yrs,Primary_school,Yrs_of_school,Lack_contraception,F_school,M_school,F_parliam,Freshwater,Sanitation,Water_acc,Co2_fuel,Electric_acc,Fuel_acc,Growth_rate,ATMs,Child_lab,Unemploy,Infrastruct,Internet_use,Broadband,Inequality,Piped_water,Treated_waste,Climate_chg_vuln,Co2_energy_pc,Ocean_biodiv,Ocean_clean,Ocean_protect,Ocean_fisheries,Fish_overexploit,Terrestrial_protect,Forest_change,Species_survival,CPI,Gov_efficien,Homicides,Prison_pop,Property_rights,Safe_night,Regist_birth,Masskill_ongo,Masskill_ever,GDPpc_growth,Minority_rule,Ethnic_fract,Battle_deaths,Pol_cand_restr,Party_ban,Relig_freeMK,Polkill_apprvd,Freemv_M,Freemv_F,Free_discuss,Social_ineq,Soc_powerdist,Trade_openMK,Democ,Sexwrk_size,Sexwrk_HIV,Sexwrk_condom,Sexwrk_Syphilis,AIDS_death,AIDS_Orph,Physrights_indx,Extrajud_kill,Pol_impris,Torture,Polrights_indx,Free_assem,Freemv_foreign,Freemv_dom,Free_speech,Free_polit,Relig_freeCIRI,Work_rightCIRI,Econ_right_F,Pol_right_F,Indep_judic,Rape_prev,Rape_report,Rape_enclave,Rape_compl,Phys_secF,Gender_equal,Pop_dens,Urban_population,Rural_population,KOF_Globalis,Trade_open,FDI,VDEM_Libdem,GDPpc,Pol_terror,Armedcon
Turks and Caicos Islands,2016,0.4,53.47000122,4.320399761,9.8,30.9,4.7,51,553,15.9,6.982999802,385.0,44.5,79,93.6534708,89.33168,11.509,24.46856626,97.0,85.50335673,41.09999847,37.86,57.5,91.0,1.141666667,72.0,49.00905,-2.739045381,47.71871076,9.0,8.2,5.594196406,93.2,78.7,63.13999939,70.0050428,88.40317333,0.1,1.704974532,83.19,68.44,0.0,49,87.54,66.66666667,6.837368771,0.955111828,75,3.748201607,41.2,153,4.8,51.01047986,68.3,0,0,0.011575233,1,0.06,0.0,1,4,4,0,1,1,0.924480944,0,0,-2.344236351,1,4000,41.4,35.1,19.0,71000,1100000.0,6,2,2,2,9,2,1,2,0,2,2,1,2,3,2,1,4,1,11,3,2,38.48315789,32288,2612,53.77,91.35,-4.83831605,0.682,25995.17246,2.0,0
Turks and Caicos Islands,2018,0.24,1.8,1.68809998,5.8,6.2,2.4,69,11,7.1,6.485000134,18.0,15.1,92,98.95525252,98.12052,15.17869,13.49480969,97.1,55.19750536,37.29999924,6.767,94.40000153,99.90000153,1.009302326,99.5,27.57677,-0.455872405,48.99324553,4.4,8.7,4.344140918,63.21,89.6,50.72999954,84.5218107,9.440408163,0.0,6.416333675,85.31,64.43,0.0,16,45.25,6.666666667,6.431265258,0.978080804,56,3.456399357,22.1,67,4.297182542,52.87265575,96.6,0,1,0.007576056,0,0.7,0.0,1,4,4,0,1,1,0.943042815,0,0,-0.021409829,1,8100,6.2,39.84,1.4,100,1000.0,6,2,2,1,10,1,2,2,0,1,1,0,1,3,2,2,3,0,8,4,6,39.64736842,32900,2546,58.9,119.82,-1.618338223,0.605,27142.2278,1.5,0
Tuvalu,2016,1.36,4.429999828,1.646800041,10.0,12.30000019,3.3,62,176,17.2,4.874000072,140.0,25.3,95,93.50229982,91.03867,12.51298,5.411163187,93.6,65.27249557,12.0,24.34,36.79999924,90.0,1.421052632,98.5,65.54936,1.377538688,30.28354068,6.6,9.32100296,4.7,46.0,0.0,40.47000122,75.2648798,0.425,0.1,0.867845356,74.13,58.73,0.0,72,22.15,14.28571429,4.177742024,0.854951347,39,4.052733487,9.6,260,4.02535853,50.0,49.9,0,0,0.033859402,0,0.63,0.0,1,4,3,0,1,1,0.816989491,0,0,-2.121698728,1,3500,10.3,83.7,1.4,1000,20000.0,4,1,1,1,9,2,2,1,0,1,0,1,0,2,0,1,4,0,10,4,4,374.1666667,6730,4367,54.94,101.6,1.814075473,0.695,3255.894866,1.0,0
Tuvalu,2018,0.64,1.9,1.937999964,10.0,5.3,3.3,63,25,17.2,4.349999905,106.0,25.3,93,81.13085969,91.03867,11.9,21.42377435,78.3,87.52834424,20.29999924,1.128,31.89999962,65.40000153,1.117647059,98.5,68.33842,0.098209602,30.28354068,3.900000095,5.2,3.982848152,46.0,0.0,41.45000076,71.8284713,0.9,0.42,0.729920864,74.88,60.14,0.0,64,22.00295678,0.0,5.951279189,0.571313216,42,2.766527923,2.2,149,3.67840277,65.23535229,49.9,0,0,0.034511952,0,0.74,0.0,1,4,4,0,1,1,0.848273816,0,0,-1.245708476,1,2200,6.2,74.0,1.6,200,1400.0,7,2,1,1,9,1,2,1,1,1,2,1,0,2,0,0,4,0,8,4,3,383.6,6886,4306,44.97,96.83,1.952929847,0.428,3700.710677,1.0,0
Uganda,2016,0.63,33.24000168,2.019299984,34.2,25.5,4.3,50,343,18.7,3.930999994,161.0,54.59999847,78,87.40882894,91.48062,9.76888,56.55976676,71.13564669,95.01134462,35.0,1.06,19.10000038,79.0,0.255639098,18.16255951,5.0,-4.87924161,4.227783433,16.29999924,3.590334415,3.539417064,17.71,7.4,44.29999924,23.420564,0.56,0.08,0.110886574,74.13,58.6,11.53846154,95,33.06,26.66666667,5.663806122,0.755702097,25,3.567911081,10.7,97,3.891180475,46.03529597,29.9,0,1,0.025690565,0,0.93,5.463831805,1,4,3,0,1,1,0.579077031,0,1,-2.605993015,0,44300,85.0,69.4,6.0,26000,1000000.0,2,1,0,0,7,0,2,2,1,1,1,0,0,3,1,1,3,2,12,3,3,197.723449,9386237,32101728,54.08,47.11,4.424162743,0.265,608.7057351,3.0,1
Ukraine,2016,0.47,0.0,4.400799751,3.7,2.5,0.3,63,24,5.5,4.681000233,94.0,9.0,76,99.77241,97.40348,15.14135,33.61522199,99.03508772,80.95237519,12.10000038,8.471,95.90000153,96.19999695,1.368094992,100.0,95.0,-4.980210691,94.55598808,2.400000095,9.874469757,3.807098305,43.4,5.4,25.62000084,86.3429623,14.7,0.04,6.26235199,88.84,71.58,5.0,90,32.54,1.459854015,5.702894703,0.943358382,27,2.866647266,4.3,305,2.947390139,44.26565111,99.8,0,0,0.013978478,1,0.47,4.143134726,1,3,3,0,1,1,0.684341717,0,1,-1.712699873,0,86600,5.2,93.9,3.1,8300,56000.0,4,1,1,0,10,1,2,2,1,1,2,1,2,2,0,1,3,2,12,3,0,77.68931796,31122512,13882133,74.58,105.52,4.210800813,0.236,2187.731997,4.0,1
Macedonia,2016,0.87,1.330000043,3.89989996,4.9,3.9,1.8,66,8,3.5,5.006999969,15.0,5.5,93,98.64628,86.54841,13.35395,75.09710833,90.8,64.70588235,33.29999924,16.06,90.90000153,99.40000153,1.360655738,100.0,67.32469,-1.175941017,54.50142562,12.5,26.87533569,3.92493006,68.06,38.0,43.56000137,98.6558247,3.735277778,0.03,4.519210339,91.85,77.68,16.66666667,75,24.72252393,9.375,4.036002696,0.970108177,42,3.881608093,1.4,122,4.355259402,65.23535229,99.7,0,0,-0.005859547,0,0.5,0.0,1,4,3,0,1,1,0.736424257,0,1,-1.505959468,1,3600,0.0,90.0,2.3,100,3000.0,4,1,1,0,10,2,2,2,1,1,1,1,2,2,0,1,3,0,7,3,0,82.50376685,1198005,883201,71.11,116.19,4.34760983,0.275,5129.15896,2.0,0
Macedonia,2018,0.87,3.9,3.89989996,4.9,3.9,1.8,66,8,8.3,5.006999969,15.0,12.2,93,98.64628,86.54841,13.35395,75.09710833,90.8,64.70588235,33.29999924,16.06,90.90000153,99.40000153,1.360655738,100.0,67.32469,-1.175941017,54.50142562,12.5,22.9,4.1,72.2,57.1,43.56000137,98.6558247,3.735277778,0.0,4.519210339,90.51,77.44,18.18181818,67,6.11,9.375,4.036002696,0.970108177,35,3.881608093,1.4,122,4.0,72.0,99.7,0,0,-0.005859547,0,0.5,0.0,1,4,3,0,1,1,0.736424257,0,1,-1.505959468,1,3600,0.0,90.0,2.3,100,6800.0,4,1,1,0,10,2,2,2,1,1,1,1,2,2,0,1,3,0,8,3,0,82.59151467,1202983,880177,71.1,133.24,3.753674634,0.402,6083.718948,2.0,0
Egypt,2016,0.63,0.7,7.162299633,22.3,5.0,9.5,62,33,12.8,4.193999767,15.0,24.0,93,89.28192062,95.10083,13.52824,19.70873786,70.83333333,31.19890891,2.0,126.6,94.69999695,99.40000153,1.098331347,100.0,95.0,-3.371234862,12.66749196,9.300000191,12.12278843,3.140830945,31.7,31.1,30.77000046,100.0,49.49813896,0.09,2.635115147,90.26,64.19,33.33333333,49,41.39212608,31.57894737,0.978653485,0.917231986,36,3.261799561,3.4,80,3.941932576,84.18171882,99.0,0,1,0.027421738,1,0.18,3.891820298,1,3,2,1,0,0,0.188825027,1,1,-2.597126263,0,23000,2.8,13.9,0.0,500,3200.0,0,0,0,0,3,0,2,0,1,0,0,0,0,1,1,0,4,2,12,4,4,94.87877041,40889687,54798994,63.93,30.25,3.526624449,0.122,3525.020165,4.0,1
United Kingdom,2016,0.02,0.0,7.70720005,2.6,1.169999957,0.7,71,9,2.4,6.867000103,12.0,4.199999809,93,99.84585742,99.90975,16.18306,7.425742574,98.33838682,83.09038086,29.39999962,7.231,99.19999695,100.0,1.259332024,100.0,95.0,-0.543698551,129.7634366,0.0,5.47371912,5.312448762,91.61,87.2,35.97000122,100.0,97.927095,0.05,7.085731983,82.68,87.79,29.19254658,71,70.84947802,27.87878788,8.739122486,0.786703752,81,4.823960274,1.0,147,6.286663856,77.84268838,100.0,0,0,0.008273121,0,0.12,0.0,1,4,4,0,1,1,0.95934152,0,0,-2.24059187,1,3900,0.6,87.97,2.8,100,1500.0,7,1,2,2,13,2,2,2,2,2,2,1,3,2,2,3,2,1,9,2,2,271.134481,54369540,11226025,89.47,58.5,4.223371827,0.798,41064.13343,1.5,0
